season,champion,champTeam,runnerUp,titleGameScore,regSeason1seed
2009,JGERK,GERK,MAXj0L3S,112-98,JGERK
2010,BurrowingMule,Burrowing Mule,ajg21,113-96,BurrowingMule
2011,Ryan505,Victorious Secret,BurrowingMule,105-101,Ryan505
2012,JGERK,GERK,MAXj0L3S,119-54,JGERK
2013,JGERK,GERK,rickbraaten,108-80,JGERK
2014,BurrowingMule,Burrowing Mule,Ryan505,101-83,BurrowingMule
2015,Joles,Montgomery Biscuits,Ryan505,99-65,Joles
2016,ajg21,Dobbins,JGERK,113.8-113.7,ajg21
2017,Iyano1911,Dranky,rickbraaten,83.35-56.55,Iyano1911
2018,SimonMiller,Valley Vikings,BurrowingMule,127.95-105.65,SimonMiller
2019,JGERK,GERK,madmax101010,127.9-102.7,JGERK
2020,SimonMiller,Mattress Firm,BurrowingMule,138.1-127.1,SimonMiller
2021,madmax101010,Gesicki Gnar Gnar. AMARIte??,Ryan505,127.4-98.6,madmax101010
2022,zach_montoya,Mr. Kim's Kans,Joles,143.85-104.65,zach_montoya
2023,Chance145,Chance Tha Rapper,Ryan505,122.8-122.8,Chance145
2024,madmax101010,Bijannaise,Ryan505,224.25-122.6,madmax101010
2025,SimonMiller,cRitICaL tHiNkeRs,ajg21,169.55-106.4,SimonMiller
