owner,season,claims,totalSpend,avgBid,maxBid
SimonMiller,ALL,46,499,10.8,80
Joles,ALL,65,492,7.6,36
madmax101010,ALL,63,448,7.1,28
BurrowingMule,ALL,22,422,19.2,85
levp,ALL,41,419,10.2,41
Iyano1911,ALL,45,419,9.3,45
Ryan505,ALL,33,410,12.4,55
JGERK,ALL,33,352,10.7,77
Chance145,ALL,15,344,22.9,60
Brotesk,ALL,9,292,32.4,90
ajg21,ALL,14,246,17.6,55
zach_montoya,ALL,17,182,10.7,90
madmax101010,2021,11,100,9.1,20
Brotesk,2021,2,100,50.0,90
SimonMiller,2021,7,100,14.3,80
Joles,2021,12,100,8.3,34
BurrowingMule,2021,8,100,12.5,41
Chance145,2021,2,100,50.0,60
Ryan505,2021,8,89,11.1,55
Iyano1911,2021,12,81,6.8,38
JGERK,2021,10,80,8.0,23
levp,2021,8,79,9.9,23
ajg21,2021,4,50,12.5,15
zach_montoya,2021,1,10,10.0,10
SimonMiller,2022,11,100,9.1,31
madmax101010,2022,14,100,7.1,28
Joles,2022,12,95,7.9,30
BurrowingMule,2022,4,82,20.5,65
levp,2022,8,80,10.0,23
Iyano1911,2022,8,65,8.1,24
Ryan505,2022,8,57,7.1,21
JGERK,2022,3,51,17.0,43
Chance145,2022,3,43,14.3,20
ajg21,2022,2,40,20.0,20
zach_montoya,2022,1,1,1.0,1
JGERK,2023,9,107,11.9,41
BurrowingMule,2023,4,100,25.0,75
Brotesk,2023,3,100,33.3,55
levp,2023,5,100,20.0,41
SimonMiller,2023,6,100,16.7,51
Iyano1911,2023,9,98,10.9,45
Joles,2023,10,97,9.7,36
Chance145,2023,5,95,19.0,25
madmax101010,2023,11,88,8.0,26
Ryan505,2023,5,71,14.2,35
zach_montoya,2023,5,53,10.6,24
ajg21,2023,2,30,15.0,20
Joles,2024,16,100,6.2,20
BurrowingMule,2024,3,100,33.3,85
zach_montoya,2024,4,99,24.8,90
SimonMiller,2024,12,99,8.2,39
Ryan505,2024,6,93,15.5,46
Brotesk,2024,3,82,27.3,50
Iyano1911,2024,8,76,9.5,21
madmax101010,2024,15,75,5.0,11
ajg21,2024,2,68,34.0,55
levp,2024,12,67,5.6,21
Chance145,2024,4,55,13.8,25
JGERK,2024,3,11,3.7,7
JGERK,2025,8,103,12.9,77
SimonMiller,2025,10,100,10.0,27
Ryan505,2025,6,100,16.7,49
Joles,2025,15,100,6.7,27
Iyano1911,2025,8,99,12.4,34
levp,2025,8,93,11.6,31
madmax101010,2025,12,85,7.1,21
ajg21,2025,4,58,14.5,25
Chance145,2025,1,51,51.0,51
BurrowingMule,2025,3,40,13.3,21
zach_montoya,2025,6,19,3.2,10
Brotesk,2025,1,10,10.0,10
