vs,Brotesk,BurrowingMule,Chance145,FattaBra,Iyano1911,JGERK,Joles,Kelan,King_Octavius,MAXj0L3S,MManiacs,Ryan505,SimonMiller,ajg21,levp,madmax101010,mmiera,onionRANG,peter17,peterlovespenis,rickbraaten,zach_montoya
Brotesk,—,5-15,4-10,0-2,6-12,6-12,4-10,1-0,1-1,2-3,0-1,3-15,6-10,12-9,8-9,5-10,,1-3,0-2,1-1,3-8,6-2
BurrowingMule,15-5,—,7-8,1-0,19-10,16-10,7-8,1-0,1-1,3-2,0-1,15-10,13-6,14-8,8-11,13-10,1-1,4-0,4-0,2-1,7-7,3-7
Chance145,10-4,8-7,—,,4-15,7-9,7-12,,,1-0,,7-8,7-7,9-10,12-6,5-9,1-2,1-1,,,3-2,3-7
FattaBra,2-0,0-1,,—,0-1,0-1,,3-0,,0-2,,0-1,,1-0,,,,0-2,1-0,0-1,,
Iyano1911,12-6,10-19,15-4,1-0,—,11-10,8-7,1-0,,3-1,,9-11,8-14,14-12,13-8,5-14,2-1,0-2,0-1,1-1,5-7,3-5
JGERK,12-6,10-16,9-7,1-0,10-11,—,6-6,1-0,1-0,7-1,1-0,8-17,3-15,12-14,10-13,17-7,3-0,4-0,1-2,1-1,6-9,6-1
Joles,10-4,8-7,12-7,,7-8,6-6,—,,,,,8-9,6-10,6-7,11-6,7-6,2-0,,,,2-5,5-5
Kelan,0-1,0-1,,0-3,0-1,0-1,,—,,0-1,,1-0,,0-1,,,,0-1,0-1,0-2,,
King_Octavius,1-1,1-1,,,,0-1,,,—,0-1,1-1,2-0,,1-1,,1-0,,0-1,0-1,0-1,,
MAXj0L3S,3-2,2-3,0-1,2-0,1-3,1-7,,1-0,1-0,—,2-0,2-4,,4-2,2-1,1-1,,2-2,0-3,3-0,3-0,
MManiacs,1-0,1-0,,,,0-1,,,1-1,0-2,—,1-0,,1-1,,1-0,,0-2,0-1,0-1,,
Ryan505,15-3,10-15,8-7,1-0,11-9,17-8,9-8,0-1,0-2,4-2,0-1,—,16-7,23-6,12-8,9-12,2-1,3-2,3-0,1-1,4-9,3-5
SimonMiller,10-6,6-13,7-7,,14-8,15-3,10-6,,,,,7-16,—,11-6,14-4,14-6,1-1,,,,6-3,1-6
ajg21,9-12,8-14,10-9,0-1,12-14,14-12,7-6,1-0,1-1,2-4,1-1,6-23,6-11,—,8-11,11-14,1-1,3-1,1-1,1-1,9-3,2-7
levp,9-8,11-8,6-12,,8-13,13-10,6-11,,,1-2,,8-12,4-14,11-8,—,9-13,3-0,0-1,,,3-5,3-5
madmax101010,10-5,10-13,9-5,,14-5,7-17,6-7,,0-1,1-1,0-1,12-9,6-14,14-11,13-9,—,1-1,1-1,0-1,1-1,5-4,4-5
mmiera,,1-1,2-1,,1-2,0-3,0-2,,,,,1-2,1-1,1-1,0-3,1-1,—,,,,0-3,
onionRANG,3-1,0-4,1-1,2-0,2-0,0-4,,1-0,1-0,2-2,2-0,2-3,,1-3,1-0,1-1,,—,2-1,1-1,,
peter17,2-0,0-4,,0-1,1-0,2-1,,1-0,1-0,3-0,1-0,0-3,,1-1,,1-0,,1-2,—,3-2,,
peterlovespenis,1-1,1-2,,1-0,1-1,1-1,,2-0,1-0,0-3,1-0,1-1,,1-1,,1-1,,1-1,2-3,—,,
rickbraaten,8-3,7-7,2-3,,7-5,9-6,5-2,,,0-3,,9-4,3-6,3-9,5-3,4-5,3-0,,,,—,
zach_montoya,2-6,7-3,7-3,,5-3,1-6,5-5,,,,,5-3,6-1,7-2,5-3,5-4,,,,,,—
