owner,player,pos,kept2025,keeperCost,value2026,surplus
Alec,Chris Olave,WR,5,12,27,15.0
Alec,Breece Hall,RB,29,36,23,-13.0
Alec,Zay Flowers,WR,15,22,22,0.0
Alec,Harold Fannin,TE,,8,9,1.0
Alec,DeVonta Smith,WR,17,24,23,-1.0
Alec,Kareem Hunt,RB,1,8,1,-7.0
Alec,Jordan Addison,WR,3,10,5,-5.0
Alec,Patrick Mahomes,QB,6,13,3,-10.0
Alec,T.J. Hockenson,TE,8,15,1,-14.0
Alec,Aaron Jones,RB,14,21,5,-16.0
Alec,Chuba Hubbard,RB,12,19,6,-13.0
Alec,Cooper Kupp,WR,10,17,1,-16.0
Alec,Jalen Hurts,QB,30,37,11,-26.0
Alec,Mike Evans,WR,30,37,11,-26.0
Andy,Jonathan Taylor,RB,43,50,44,-6.0
Andy,George Pickens,WR,13,20,26,6.0
Andy,Bucky Irving,RB,8,15,17,2.0
Andy,Jacoby Brissett,QB,,8,0,-8.0
Andy,Quentin Johnston,WR,1,8,5,-3.0
Andy,Dalton Schultz,TE,,8,3,-5.0
Andy,Justin Herbert,QB,1,8,4,-4.0
Andy,Jeremy McNichols,RB,,8,1,-7.0
Andy,Juwan Johnson,TE,,8,2,-6.0
Andy,Rashid Shaheed,WR,2,9,3,-6.0
Andy,Keon Coleman,WR,7,14,0,-14.0
Andy,Jerry Jeudy,WR,8,15,3,-12.0
Andy,Rachaad White,RB,11,18,6,-12.0
Andy,Marvin Harrison,WR,21,28,8,-20.0
Andy,RJ Harvey,RB,15,22,5,-17.0
Chance,Jahmyr Gibbs,RB,51,58,57,-1.0
Chance,Michael Pittman,WR,3,10,9,-1.0
Chance,Josh Allen,QB,33,40,27,-13.0
Chance,Rome Odunze,WR,12,19,12,-7.0
Chance,Rhamondre Stevenson,RB,6,13,6,-7.0
Chance,Theo Johnson,TE,,8,1,-7.0
Chance,Aaron Rodgers,QB,,8,0,-8.0
Chance,Kayshon Boutte,WR,,8,0,-8.0
Chance,AJ Barner,TE,,8,0,-8.0
Chance,Derrick Henry,RB,42,49,29,-20.0
Chance,Tyjae Spears,RB,3,10,3,-7.0
Chance,Evan Engram,TE,5,12,0,-12.0
Chance,Davante Adams,WR,31,38,18,-20.0
Chance,Xavier Worthy,WR,12,19,5,-14.0
Dawkins,Brock Bowers,TE,10,17,29,12.0
Dawkins,Amon-Ra St. Brown,WR,50,57,49,-8.0
Dawkins,Bhayshul Tuten,RB,1,8,13,5.0
Dawkins,Christian McCaffrey,RB,60,67,47,-20.0
Dawkins,Jaxson Dart,QB,,8,5,-3.0
Dawkins,Garrett Wilson,WR,23,30,27,-3.0
Dawkins,Michael Carter,RB,,8,1,-7.0
Dawkins,Michael Wilson,WR,,8,6,-2.0
Dawkins,Colby Parkinson,TE,,8,0,-8.0
Dawkins,Jawhar Jordan,RB,,8,1,-7.0
Dawkins,Woody Marks,RB,,8,3,-5.0
Dawkins,Troy Franklin,WR,,8,0,-8.0
Dawkins,Jameson Williams,WR,15,22,16,-6.0
Dawkins,Jakobi Meyers,WR,5,12,6,-6.0
Dawkins,Bo Nix,QB,10,17,6,-11.0
Dawkins,Jordan Mason,RB,11,18,3,-15.0
Derek,Travis Etienne,RB,7,14,17,3.0
Derek,Quinshon Judkins,RB,4,11,15,4.0
Derek,De'Von Achane,RB,34,41,37,-4.0
Derek,Kyle Pitts,TE,3,10,9,-1.0
Derek,Matthew Stafford,QB,1,8,4,-4.0
Derek,Keenan Allen,WR,,8,1,-7.0
Derek,Arian Foster,RB,,8,1,-7.0
Derek,Ollie Gordon,RB,,8,1,-7.0
Derek,Cade Otton,TE,,8,0,-8.0
Derek,Oronde Gadsden,TE,,8,0,-8.0
Derek,Baker Mayfield,QB,3,10,1,-9.0
Derek,Brandon Aiyuk,WR,3,10,0,-10.0
Derek,Jauan Jennings,WR,4,11,2,-9.0
Derek,J.K. Dobbins,RB,5,12,6,-6.0
Derek,Brian Thomas,WR,9,16,6,-10.0
Derek,Ricky Pearsall,WR,11,18,0,-18.0
Gerk,Rashee Rice,WR,10,17,33,16.0
Gerk,Emeka Egbuka,WR,3,10,20,10.0
Gerk,Trey McBride,TE,24,31,30,-1.0
Gerk,Kenny Gainwell,RB,,8,1,-7.0
Gerk,Jordan Love,QB,1,8,0,-8.0
Gerk,Emanuel Wilson,RB,,8,0,-8.0
Gerk,Tre Tucker,WR,,8,3,-5.0
Gerk,Xavier Legette,WR,1,8,2,-6.0
Gerk,Nick Chubb,RB,2,9,1,-8.0
Gerk,Darren Waller,TE,2,9,1,-8.0
Gerk,Matthew Golden,WR,6,13,5,-8.0
Gerk,Khalil Shakir,WR,3,10,5,-5.0
Gerk,Josh Jacobs,RB,44,51,25,-26.0
Gerk,Kyler Murray,QB,4,11,2,-9.0
Gerk,Ashton Jeanty,RB,55,62,34,-28.0
Gerk,Stefon Diggs,WR,15,22,2,-20.0
Ian,Puka Nacua,WR,51,58,55,-3.0
Ian,Kenneth Walker,RB,32,39,28,-11.0
Ian,Dallas Goedert,TE,1,8,3,-5.0
Ian,Ja'Marr Chase,WR,63,70,54,-16.0
Ian,Rico Dowdle,RB,,8,6,-2.0
Ian,Dak Prescott,QB,1,8,6,-2.0
Ian,Travis Kelce,TE,6,13,6,-7.0
Ian,Jacory Croskey-Merritt,RB,,8,4,-4.0
Ian,John Metchie,WR,,8,1,-7.0
Ian,Josh Downs,WR,1,8,5,-3.0
Ian,Tank Dell,WR,1,8,0,-8.0
Ian,Joe Burrow,QB,14,21,8,-13.0
Ian,Jayden Higgins,WR,5,12,3,-9.0
Ian,Terry McLaurin,WR,24,31,13,-18.0
Ian,Deebo Samuel,WR,9,16,4,-12.0
Joles,Tetairoa McMillan,WR,12,19,21,2.0
Joles,Drake Maye,QB,1,8,12,4.0
Joles,Jaylen Waddle,WR,12,19,15,-4.0
Joles,Chris Rodriguez,RB,,8,2,-6.0
Joles,Samaje Perine,RB,,8,2,-6.0
Joles,Dylan Sampson,RB,,8,3,-5.0
Joles,Devin Neal,RB,,8,1,-7.0
Joles,Jaylen Wright,RB,2,9,0,-9.0
Joles,Jayden Reed,WR,3,10,7,-3.0
Joles,Zach Charbonnet,RB,5,12,3,-9.0
Joles,Chris Godwin,WR,8,15,6,-9.0
Joles,Tony Pollard,RB,15,22,8,-14.0
Joles,A.J. Brown,WR,46,53,29,-24.0
Joles,George Kittle,TE,30,37,2,-35.0
