owner,seasons,actualW,expW,totalLuck
zach_montoya,6,51,43.3,7.7
Joles,11,77,72.8,4.2
rickbraaten,8,56,52.5,3.5
BurrowingMule,17,138,134.9,3.1
Iyano1911,16,110,107.2,2.8
SimonMiller,13,99,96.2,2.8
peter17,2,15,13.1,1.9
peterlovespenis,2,14,12.5,1.5
onionRANG,3,20,18.5,1.5
levp,14,81,79.7,1.3
Chance145,12,74,73.5,0.5
mmiera,2,8,7.5,0.5
King_Octavius,1,4,3.9,0.1
madmax101010,15,102,102.3,-0.3
FattaBra,1,6,6.5,-0.5
Kelan,1,1,1.6,-0.6
MManiacs,1,6,6.7,-0.7
Ryan505,17,131,131.7,-0.7
MAXj0L3S,4,26,28,-2
Brotesk,14,67,72.8,-5.8
ajg21,17,93,100.2,-7.2
JGERK,17,112,125.4,-13.4
