season,owner,actualW,expW,luck,allplayWpct
2009,peterlovespenis,7,5.39,1.61,0.414
2009,onionRANG,7,5.45,1.55,0.42
2009,peter17,8,6.73,1.27,0.517
2009,MAXj0L3S,11,9.96,1.04,0.766
2009,BurrowingMule,9,8.33,0.67,0.641
2009,JGERK,10,9.61,0.39,0.739
2009,King_Octavius,4,3.85,0.15,0.296
2009,Brotesk,4,4.24,-0.24,0.326
2009,MManiacs,6,6.73,-0.73,0.518
2009,Ryan505,6,6.91,-0.91,0.532
2009,madmax101010,2,4.18,-2.18,0.321
2009,ajg21,4,6.59,-2.59,0.507
2010,BurrowingMule,12,10.96,1.04,0.843
2010,ajg21,9,8.11,0.89,0.624
2010,Iyano1911,6,5.26,0.74,0.404
2010,Ryan505,10,9.29,0.71,0.714
2010,peter17,7,6.32,0.68,0.486
2010,Brotesk,4,3.64,0.36,0.28
2010,peterlovespenis,7,7.09,-0.09,0.545
2010,JGERK,4,4.43,-0.43,0.34
2010,FattaBra,6,6.5,-0.5,0.5
2010,Kelan,1,1.64,-0.64,0.126
2010,onionRANG,6,6.69,-0.69,0.514
2010,MAXj0L3S,6,8.24,-2.24,0.634
2011,BurrowingMule,10,7.62,2.38,0.586
2011,Iyano1911,9,7.96,1.04,0.612
2011,JGERK,10,9.19,0.81,0.707
2011,onionRANG,7,6.39,0.61,0.491
2011,levp,4,4,0,0.308
2011,Chance145,5,5.16,-0.16,0.397
2011,madmax101010,5,5.43,-0.43,0.417
2011,MAXj0L3S,3,3.5,-0.5,0.27
2011,Ryan505,9,10.65,-1.65,0.819
2011,ajg21,3,5.09,-2.09,0.391
2012,JGERK,11,7.09,3.91,0.545
2012,rickbraaten,6,4.43,1.57,0.341
2012,Iyano1911,8,7.16,0.84,0.551
2012,MAXj0L3S,6,6.28,-0.28,0.483
2012,Ryan505,6,7.01,-1.01,0.539
2012,BurrowingMule,6,7.43,-1.43,0.571
2012,Brotesk,4,5.78,-1.78,0.444
2012,ajg21,5,6.79,-1.79,0.522
2013,BurrowingMule,8,6.44,1.56,0.496
2013,Brotesk,7,5.78,1.22,0.444
2013,levp,9,8.18,0.82,0.629
2013,rickbraaten,10,9.33,0.67,0.718
2013,SimonMiller,8,7.33,0.67,0.564
2013,Ryan505,6,5.89,0.11,0.453
2013,ajg21,4,4.63,-0.63,0.357
2013,Iyano1911,3,3.73,-0.73,0.287
2013,JGERK,6,7.73,-1.73,0.595
2013,madmax101010,4,5.88,-1.88,0.452
2014,Ryan505,10,8.21,1.79,0.632
2014,madmax101010,9,7.91,1.09,0.609
2014,levp,6,4.97,1.03,0.383
2014,BurrowingMule,10,9.53,0.47,0.733
2014,JGERK,6,5.99,0.01,0.461
2014,Brotesk,4,4.41,-0.41,0.339
2014,Iyano1911,7,7.51,-0.51,0.578
2014,ajg21,3,3.76,-0.76,0.289
2014,SimonMiller,5,6.16,-1.16,0.474
2014,rickbraaten,5,6.5,-1.5,0.5
2015,Iyano1911,8,5.53,2.47,0.426
2015,Joles,12,9.98,2.02,0.768
2015,BurrowingMule,8,6.92,1.08,0.532
2015,Ryan505,8,7.23,0.77,0.556
2015,ajg21,5,4.83,0.17,0.371
2015,Brotesk,5,4.92,0.08,0.379
2015,levp,5,5.16,-0.16,0.397
2015,rickbraaten,5,5.66,-0.66,0.436
2015,SimonMiller,9,9.7,-0.7,0.746
2015,madmax101010,6,6.92,-0.92,0.532
2015,Chance145,4,5.49,-1.49,0.423
2015,JGERK,3,5.57,-2.57,0.429
2016,BurrowingMule,10,8.45,1.55,0.65
2016,rickbraaten,10,8.64,1.36,0.664
2016,Chance145,7,5.95,1.05,0.458
2016,Joles,6,5.18,0.82,0.399
2016,ajg21,8,7.73,0.27,0.594
2016,JGERK,7,6.91,0.09,0.531
2016,Ryan505,6,6.32,-0.32,0.486
2016,Brotesk,4,4.45,-0.45,0.343
2016,madmax101010,6,6.45,-0.45,0.497
2016,SimonMiller,6,6.55,-0.55,0.503
2016,levp,4,5.55,-1.55,0.427
2016,Iyano1911,4,5.82,-1.82,0.448
2017,Chance145,10,7.64,2.36,0.587
2017,Ryan505,7,5.55,1.45,0.427
2017,SimonMiller,6,4.73,1.27,0.364
2017,mmiera,5,4,1,0.308
2017,rickbraaten,8,7.18,0.82,0.552
2017,madmax101010,8,8,0,0.615
2017,ajg21,5,5.27,-0.27,0.406
2017,BurrowingMule,6,6.55,-0.55,0.503
2017,Joles,5,5.82,-0.82,0.448
2017,Iyano1911,8,9,-1,0.692
2017,levp,5,6.55,-1.55,0.503
2017,JGERK,5,7.73,-2.73,0.594
2018,Iyano1911,10,7.09,2.91,0.545
2018,BurrowingMule,10,8.64,1.36,0.664
