owner,seasons,gp,wins,losses,ties,winPct,ppg,papg,totalPF,totalPA,titles,runnerUps,titleGameApps,regSeason1,playoffApps,bestRegRank,avgRegRank
JGERK,17,226,112,114,0,0.496,113.8,113.4,25722.8,25633.2,4,1,5,4,8,1,5.9
SimonMiller,13,174,99,75,0,0.569,118.9,113.7,20686.1,19781.2,3,0,3,3,7,1,4.6
BurrowingMule,17,226,138,88,0,0.611,117.4,107.7,26534.6,24341.5,2,3,5,2,14,1,4.5
madmax101010,15,200,102,98,0,0.51,113.4,111.2,22675.1,22233.4,2,1,3,2,9,1,5.9
zach_montoya,6,83,51,32,0,0.614,125.8,124.4,10439.2,10323.9,1,0,1,1,5,1,4.8
Ryan505,17,226,131,95,0,0.58,115.3,108.0,26047.6,24399.0,1,5,6,1,13,1,4.5
Joles,11,148,77,71,0,0.52,116.3,115.6,17207.7,17115.8,1,1,2,1,5,1,6.8
Iyano1911,16,213,110,103,0,0.516,111.6,109.9,23767.7,23415.0,1,0,1,1,7,1,6.2
Chance145,12,161,74,87,0,0.46,112.0,116.1,18027.5,18699.2,1,0,1,1,6,1,6.4
ajg21,17,226,93,133,0,0.412,105.5,113.1,23833.5,25563.5,1,2,3,1,3,1,8.0
peter17,2,26,15,11,0,0.577,92.8,87.3,2414.0,2271.0,0,0,0,0,2,3,3.5
peterlovespenis,2,26,14,12,0,0.538,89.8,93.2,2336.0,2422.0,0,0,0,0,2,4,4.5
rickbraaten,8,104,56,48,0,0.538,103.9,101.2,10809.8,10520.2,0,2,2,0,5,2,5.0
onionRANG,3,39,20,19,0,0.513,91.7,96.4,3578.0,3761.0,0,0,0,0,2,5,6.0
MAXj0L3S,4,52,26,26,0,0.5,99.0,96.7,5149.0,5027.0,0,2,2,0,3,2,4.8
MManiacs,1,13,6,7,0,0.462,93.8,93.8,1219.0,1219.0,0,0,0,0,0,7,7.0
FattaBra,1,13,6,7,0,0.462,92.7,88.3,1205.0,1148.0,0,0,0,0,0,8,8.0
levp,14,187,81,106,0,0.433,107.3,112.7,20070.2,21076.3,0,0,0,0,4,3,7.8
Brotesk,14,187,67,120,0,0.358,103.0,112.3,19253.0,20991.9,0,0,0,0,2,3,9.5
King_Octavius,1,13,4,9,0,0.308,80.2,98.9,1043.0,1286.0,0,0,0,0,0,11,11.0
mmiera,2,26,8,18,0,0.308,96.2,107.5,2500.3,2795.2,0,0,0,0,0,12,12.0
Kelan,1,13,1,12,0,0.077,56.2,94.3,730.0,1226.0,0,0,0,0,0,12,12.0
