player,source,auctionValue
Puka Nacua,fftoday_2026_ppr12_200,52
Jahmyr Gibbs,fftoday_2026_ppr12_200,51
Bijan Robinson,fftoday_2026_ppr12_200,51
Ja'Marr Chase,fftoday_2026_ppr12_200,51
Amon-Ra St. Brown,fftoday_2026_ppr12_200,48
Jaxon Smith-Njigba,fftoday_2026_ppr12_200,46
Christian McCaffrey,fftoday_2026_ppr12_200,43
Jonathan Taylor,fftoday_2026_ppr12_200,38
Drake London,fftoday_2026_ppr12_200,38
Justin Jefferson,fftoday_2026_ppr12_200,34
CeeDee Lamb,fftoday_2026_ppr12_200,34
James Cook,fftoday_2026_ppr12_200,33
Rashee Rice,fftoday_2026_ppr12_200,33
Omarion Hampton,fftoday_2026_ppr12_200,30
De'Von Achane,fftoday_2026_ppr12_200,30
Chris Olave,fftoday_2026_ppr12_200,30
Garrett Wilson,fftoday_2026_ppr12_200,30
Ashton Jeanty,fftoday_2026_ppr12_200,29
Saquon Barkley,fftoday_2026_ppr12_200,29
A.J. Brown,fftoday_2026_ppr12_200,29
Chase Brown,fftoday_2026_ppr12_200,28
Nico Collins,fftoday_2026_ppr12_200,28
Brock Bowers,fftoday_2026_ppr12_200,28
Jeremiyah Love,fftoday_2026_ppr12_200,27
Josh Allen,fftoday_2026_ppr12_200,26
Derrick Henry,fftoday_2026_ppr12_200,26
Zay Flowers,fftoday_2026_ppr12_200,26
DeVonta Smith,fftoday_2026_ppr12_200,26
Trey McBride,fftoday_2026_ppr12_200,26
Kenneth Walker,fftoday_2026_ppr12_200,25
Kyren Williams,fftoday_2026_ppr12_200,25
George Pickens,fftoday_2026_ppr12_200,25
Cam Skattebo,fftoday_2026_ppr12_200,24
Breece Hall,fftoday_2026_ppr12_200,23
Malik Nabers,fftoday_2026_ppr12_200,23
Josh Jacobs,fftoday_2026_ppr12_200,22
Emeka Egbuka,fftoday_2026_ppr12_200,22
Tetairoa McMillan,fftoday_2026_ppr12_200,22
Javonte Williams,fftoday_2026_ppr12_200,21
Davante Adams,fftoday_2026_ppr12_200,21
Jameson Williams,fftoday_2026_ppr12_200,21
Bucky Irving,fftoday_2026_ppr12_200,20
