season,overall,round,espnTeam,espnOwner,ffOwner,player,bid,keeper
2023,1,1,,metsfan21,ajg21,Travis Kelce,66,false
2023,2,1,,Zach82460,zach_montoya,Cooper Kupp,66,false
2023,3,1,,ESPNFAN7620023575,levp,Austin Ekeler,71,false
2023,4,1,,metsfan21,ajg21,Justin Jefferson,78,false
2023,5,1,,ESPNFAN4373227268,Chance145,Christian McCaffrey,71,false
2023,6,1,,IanP123,Iyano1911,Jonathan Taylor,58,false
2023,7,1,,Michael Oxmall,Brotesk,Ja'Marr Chase,73,false
2023,8,1,,maxdawkins,madmax101010,Bijan Robinson,64,false
2023,9,1,,ESPNFAN7620023575,levp,A.J. Brown,52,false
2023,10,1,,ESPNFAN1932809868,Joles,Saquon Barkley,58,false
2023,11,1,,IanP123,Iyano1911,Davante Adams,55,false
2023,12,1,,Growney11,Ryan505,CeeDee Lamb,55,false
2023,13,2,,Michael Oxmall,Brotesk,Patrick Mahomes,43,false
2023,14,2,,Zach82460,zach_montoya,Josh Jacobs,46,false
2023,15,2,,Gerk11,JGERK,Tyreek Hill,65,false
2023,16,2,,ESPNFAN4373227268,Chance145,Stefon Diggs,50,false
2023,17,2,,Growney11,Ryan505,Derrick Henry,56,false
2023,18,2,,Michael Oxmall,Brotesk,Breece Hall,37,false
2023,19,2,,KillerMiller8,SimonMiller,Travis Etienne Jr.,38,false
2023,20,2,,maxdawkins,madmax101010,Garrett Wilson,37,false
2023,21,2,,KillerMiller8,SimonMiller,Jalen Hurts,32,false
2023,22,2,,KillerMiller8,SimonMiller,Tony Pollard,41,false
2023,23,2,,Growney11,Ryan505,Jaylen Waddle,41,false
2023,24,2,,ESPNFAN1932809868,Joles,Josh Allen,33,false
2023,25,3,,Gerk11,JGERK,Nick Chubb,41,false
2023,26,3,,Michael Oxmall,Brotesk,Tee Higgins,34,false
2023,27,3,,ESPNFAN7620023575,levp,Najee Harris,26,false
2023,28,3,,Zach82460,zach_montoya,Amon-Ra St. Brown,43,false
2023,29,3,,maxdawkins,madmax101010,DK Metcalf,29,false
2023,30,3,,KillerMiller8,SimonMiller,Joe Mixon,25,false
2023,31,3,,metsfan21,ajg21,J.K. Dobbins,24,false
2023,32,3,,ESPNFAN1932809868,Joles,Rhamondre Stevenson,27,false
2023,33,3,,Gerk11,JGERK,Jahmyr Gibbs,23,false
2023,34,3,,maxdawkins,madmax101010,Justin Herbert,9,false
2023,35,3,,ESPNFAN1932809868,Joles,Aaron Jones,33,false
2023,36,3,,ESPNFAN7620023575,levp,Chris Olave,27,false
2023,37,4,,ESPNFAN4373227268,Chance145,DeVonta Smith,28,false
2023,38,4,,IanP123,Iyano1911,Christian Watson,18,false
2023,39,4,,maxdawkins,madmax101010,Miles Sanders,16,false
