date,season,owner,teamId,player,pos,winBid,nBidders,topLoserBid
2025-12-24,2025,SimonMiller,1029559,Trevor Lawrence,QB,5,1,
2025-12-17,2025,madmax101010,1029198,Michael Carter,RB,21,1,
2025-12-17,2025,madmax101010,1029198,Troy Franklin,WR,5,1,
2025-12-17,2025,madmax101010,1029198,Colby Parkinson,TE,5,1,
2025-12-17,2025,madmax101010,1029198,New Orleans Saints,D/ST,5,1,
2025-12-10,2025,SimonMiller,1029559,Colston Loveland,TE,11,2,1
2025-12-04,2025,zach_montoya,769096,Dalton Kincaid,TE,10,1,
2025-12-03,2025,Ryan505,535566,Brenton Strange,TE,49,2,10
2025-12-03,2025,Ryan505,535566,Washington Commanders,D/ST,19,1,
2025-12-03,2025,Ryan505,535566,Adonai Mitchell,WR,11,1,
2025-12-03,2025,Brotesk,1519607,Evan McPherson,K,10,1,
2025-12-03,2025,zach_montoya,769096,Tampa Bay Buccaneers,D/ST,3,1,
2025-11-26,2025,Joles,1173483,Devin Neal,RB,27,2,16
2025-11-26,2025,levp,1030247,C.J. Stroud,QB,3,1,
2025-11-19,2025,JGERK,573189,Emanuel Wilson,RB,77,5,60
2025-11-19,2025,ajg21,573289,Jacoby Brissett,QB,10,1,
2025-11-19,2025,madmax101010,1029198,Jakobi Meyers,WR,6,4,5
2025-11-19,2025,ajg21,573289,Tampa Bay Buccaneers,D/ST,5,1,
2025-11-19,2025,Joles,1173483,Darnell Mooney,WR,5,2,3
2025-11-12,2025,ajg21,573289,Mac Jones,QB,25,1,
2025-11-12,2025,Iyano1911,689370,Joe Burrow,QB,11,1,
2025-11-12,2025,Iyano1911,689370,Sean Tucker,RB,1,1,
2025-11-12,2025,Joles,1173483,Atlanta Falcons,D/ST,1,1,
2025-11-05,2025,Joles,1173483,Devin Singletary,RB,12,2,8
2025-11-05,2025,SimonMiller,1029559,Sam Darnold,QB,11,3,7
2025-11-05,2025,Iyano1911,689370,Trevor Lawrence,QB,3,1,
2025-11-05,2025,JGERK,573189,Matt Prater,K,2,1,
2025-11-05,2025,zach_montoya,769096,Tampa Bay Buccaneers,D/ST,2,1,
2025-11-05,2025,Joles,1173483,Seattle Seahawks,D/ST,2,1,
2025-10-29,2025,levp,1030247,Tank Bigsby,RB,22,1,
2025-10-29,2025,SimonMiller,1029559,Brian Robinson,RB,7,2,2
2025-10-29,2025,Iyano1911,689370,Dylan Sampson,RB,3,2,2
2025-10-29,2025,Joles,1173483,Samaje Perine,RB,3,1,
2025-10-22,2025,madmax101010,1029198,Oronde Gadsden,TE,11,5,10
2025-10-22,2025,levp,1030247,Tez Johnson,WR,11,2,11
2025-10-22,2025,madmax101010,1029198,Alec Pierce,WR,6,2,3
2025-10-22,2025,Ryan505,535566,Tyrone Tracy,RB,3,1,
2025-10-22,2025,Joles,1173483,Indianapolis Colts,D/ST,1,1,
2025-10-15,2025,SimonMiller,1029559,Ray Davis,RB,6,1,
2025-10-15,2025,Ryan505,535566,Sterling Shepard,WR,5,1,
2025-10-15,2025,zach_montoya,769096,New England Patriots,D/ST,2,2,2
2025-10-15,2025,SimonMiller,1029559,Ka'imi Fairbairn,K,2,1,
2025-10-15,2025,Joles,1173483,Elic Ayomanor,WR,2,1,
2025-10-08,2025,levp,1030247,Kimani Vidal,RB,31,5,27
2025-10-08,2025,SimonMiller,1029559,Hassan Haskins,RB,27,3,13
2025-10-08,2025,Joles,1173483,Mason Taylor,TE,17,3,11
2025-10-08,2025,SimonMiller,1029559,Christian Watson,WR,6,1,
2025-10-08,2025,levp,1030247,Tory Horton,WR,5,1,
2025-10-08,2025,madmax101010,1029198,Theo Johnson,TE,4,1,
2025-10-01,2025,JGERK,573189,Justice Hill,RB,6,1,
2025-10-01,2025,SimonMiller,1029559,Darius Slayton,WR,6,2,1
2025-10-01,2025,madmax101010,1029198,Jaxson Dart,QB,5,1,
2025-10-01,2025,JGERK,573189,Arizona Cardinals,D/ST,2,1,
2025-10-01,2025,zach_montoya,769096,Jason Myers,K,1,1,
2025-10-01,2025,zach_montoya,769096,Malik Washington,WR,1,1,
2025-09-24,2025,Ryan505,535566,Christian Kirk,WR,13,2,1
2025-09-24,2025,JGERK,573189,Tre Tucker,WR,9,3,6
2025-09-24,2025,Joles,1173483,Tory Horton,WR,5,1,
2025-09-24,2025,madmax101010,1029198,Rashod Bateman,WR,3,1,
2025-09-24,2025,Joles,1173483,Mark Andrews,TE,2,3,2
2025-09-17,2025,madmax101010,1029198,Troy Franklin,WR,13,3,7
2025-09-17,2025,Joles,1173483,Elic Ayomanor,WR,12,2,11
2025-09-17,2025,levp,1030247,Daniel Jones,QB,8,2,6
2025-09-17,2025,Iyano1911,689370,Miles Sanders,RB,7,1,
2025-09-17,2025,levp,1030247,Matt Prater,K,1,1,
2025-09-11,2025,SimonMiller,1029559,Blake Corum,RB,19,1,
2025-09-10,2025,Chance145,1173487,Kayshon Boutte,WR,51,2,2
2025-09-10,2025,ajg21,573289,Juwan Johnson,TE,18,2,11
2025-09-10,2025,Iyano1911,689370,Calvin Austin,WR,17,2,5
2025-09-10,2025,Joles,1173483,Harold Fannin,TE,5,1,
2025-09-10,2025,JGERK,573189,Kenny Gainwell,RB,3,1,
2025-09-10,2025,Joles,1173483,Brenton Strange,TE,1,1,
2025-08-27,2025,Iyano1911,689370,Jacory Croskey-Merritt,RB,34,6,31
2025-08-27,2025,Iyano1911,689370,Rico Dowdle,RB,23,2,6
2025-08-27,2025,BurrowingMule,573215,Keenan Allen,WR,21,2,4
2025-08-27,2025,levp,1030247,J.J. McCarthy,QB,12,1,
2025-08-27,2025,BurrowingMule,573215,Ollie Gordon,RB,11,4,9
2025-08-27,2025,BurrowingMule,573215,Amari Cooper,WR,8,1,
2025-08-27,2025,Joles,1173483,Dylan Sampson,RB,5,2,3
2025-08-27,2025,JGERK,573189,Raheem Mostert,RB,1,1,
2025-08-27,2025,madmax101010,1029198,Dameon Pierce,RB,1,1,
2025-08-13,2025,JGERK,573189,Rico Dowdle,RB,3,1,
2024-12-25,2024,madmax101010,1029198,Tampa Bay Buccaneers,D/ST,8,1,
2024-12-18,2024,Ryan505,535566,Justice Hill,RB,46,1,
2024-12-13,2024,Iyano1911,689370,Rome Odunze,WR,6,1,
2024-12-11,2024,Iyano1911,689370,Stefon Diggs,WR,11,1,
2024-12-11,2024,Iyano1911,689370,Diontae Johnson,WR,11,1,
2024-12-04,2024,zach_montoya,769096,Isaac Guerendo,RB,90,8,54
2024-12-04,2024,madmax101010,1029198,Adam Thielen,WR,5,2,2
2024-12-04,2024,madmax101010,1029198,Elijah Moore,WR,3,1,
2024-11-28,2024,Joles,1173483,Braelon Allen,RB,18,3,3
2024-11-27,2024,Iyano1911,689370,Cincinnati Bengals,D/ST,8,1,
2024-11-27,2024,Ryan505,535566,Indianapolis Colts,D/ST,6,1,
2024-11-27,2024,madmax101010,1029198,Dallas Cowboys,D/ST,6,1,
2024-11-27,2024,SimonMiller,1029559,Sam LaPorta,TE,5,2,3
2024-11-27,2024,Iyano1911,689370,New York Giants,D/ST,1,1,
2024-11-27,2024,madmax101010,1029198,Devaughn Vele,WR,1,1,
2024-11-20,2024,Iyano1911,689370,Anthony Richardson,QB,21,1,
2024-11-20,2024,levp,1030247,Will Dissly,TE,7,1,
2024-11-20,2024,Ryan505,535566,Nick Westbrook-Ikhine,WR,6,1,
2024-11-20,2024,Joles,1173483,Arizona Cardinals,D/ST,3,1,
2024-11-13,2024,Iyano1911,689370,Cam Akers,RB,17,3,6
2024-11-13,2024,levp,1030247,Marquez Valdes-Scantling,WR,6,1,
2024-11-13,2024,Joles,1173483,Elijah Moore,WR,5,1,
2024-11-13,2024,levp,1030247,Adonai Mitchell,WR,3,1,
2024-11-13,2024,Joles,1173483,Green Bay Packers,D/ST,3,1,
2024-11-13,2024,SimonMiller,1029559,C.J. Stroud,QB,2,1,
2024-11-13,2024,Joles,1173483,Noah Brown,WR,2,1,
2024-11-06,2024,Ryan505,535566,Ricky Pearsall,WR,17,1,
2024-11-06,2024,Chance145,1173487,Demarcus Robinson,WR,15,1,
2024-11-06,2024,levp,1030247,Khalil Herbert,RB,6,1,
2024-11-06,2024,levp,1030247,Hunter Henry,TE,4,2,3
2024-11-06,2024,madmax101010,1029198,Quentin Johnston,WR,2,1,
2024-11-06,2024,zach_montoya,769096,Jonnu Smith,TE,1,1,
2024-11-06,2024,SimonMiller,1029559,Cam Akers,RB,1,1,
2024-11-01,2024,levp,1030247,Detroit Lions,D/ST,1,1,
2024-10-30,2024,Joles,1173483,Chicago Bears,D/ST,1,2,1
2024-10-25,2024,Joles,1173483,DeMario Douglas,WR,2,1,
2024-10-23,2024,ajg21,573289,Jauan Jennings,WR,55,6,51
2024-10-23,2024,Brotesk,1519607,Sterling Shepard,WR,30,1,
2024-10-23,2024,Joles,1173483,Ricky Pearsall,WR,12,1,
2024-10-23,2024,SimonMiller,1029559,Kimani Vidal,RB,3,1,
2024-10-18,2024,madmax101010,1029198,Trey Sermon,RB,6,1,
2024-10-16,2024,Joles,1173483,Isaac Guerendo,RB,20,1,
2024-10-16,2024,SimonMiller,1029559,DeMario Douglas,WR,11,1,
2024-10-16,2024,Joles,1173483,Sean Tucker,RB,8,1,
2024-10-16,2024,JGERK,573189,Caleb Williams,QB,1,1,
2024-10-11,2024,Joles,1173483,Harrison Butker,K,3,1,
2024-10-11,2024,Joles,1173483,Tyler Bass,K,2,1,
2024-10-10,2024,levp,1030247,Colby Parkinson,TE,1,1,
2024-10-09,2024,SimonMiller,1029559,Kirk Cousins,QB,9,1,
2024-10-09,2024,levp,1030247,JuJu Smith-Schuster,WR,5,1,
2024-10-09,2024,madmax101010,1029198,Michael Wilson,WR,4,2,3
2024-10-09,2024,madmax101010,1029198,Dare Ogunbowale,RB,3,1,
2024-10-09,2024,SimonMiller,1029559,Ty Johnson,RB,3,1,
2024-10-02,2024,BurrowingMule,573215,Dontayvion Wicks,WR,85,2,16
2024-10-02,2024,BurrowingMule,573215,Tucker Kraft,TE,10,3,9
2024-10-02,2024,Ryan505,535566,Jaylen Warren,RB,9,2,8
2024-10-02,2024,madmax101010,1029198,Josh Downs,WR,7,1,
2024-10-02,2024,Joles,1173483,Trevor Lawrence,QB,5,1,
2024-10-02,2024,madmax101010,1029198,Jordan Whittington,WR,3,1,
2024-10-02,2024,madmax101010,1029198,Miles Sanders,RB,1,1,
2024-09-25,2024,Ryan505,535566,Buffalo Bills,D/ST,9,1,
2024-09-25,2024,levp,1030247,Andrei Iosivas,WR,7,2,6
2024-09-25,2024,JGERK,573189,Roschon Johnson,RB,3,1,
2024-09-25,2024,SimonMiller,1029559,Aaron Rodgers,QB,3,2,2
2024-09-25,2024,levp,1030247,Noah Fant,TE,2,1,
2024-09-25,2024,SimonMiller,1029559,Trey Sermon,RB,1,1,
2024-09-20,2024,Joles,1173483,Rico Dowdle,RB,3,2,1
2024-09-18,2024,Brotesk,1519607,Carson Steele,RB,50,4,21
2024-09-18,2024,madmax101010,1029198,Quentin Johnston,WR,11,1,
2024-09-18,2024,Joles,1173483,Hunter Henry,TE,11,3,9
2024-09-18,2024,madmax101010,1029198,D'Onta Foreman,RB,8,1,
2024-09-18,2024,JGERK,573189,Derek Carr,QB,7,2,6
2024-09-18,2024,zach_montoya,769096,Geno Smith,QB,7,1,
2024-09-18,2024,Joles,1173483,Isaac Guerendo,RB,2,1,
2024-09-18,2024,Brotesk,1519607,Sam Darnold,QB,2,1,
2024-09-18,2024,zach_montoya,769096,Minnesota Vikings,D/ST,1,1,
2024-09-11,2024,Chance145,1173487,Allen Lazard,WR,25,3,6
2024-09-11,2024,levp,1030247,Baker Mayfield,QB,21,2,6
2024-09-11,2024,ajg21,573289,Bucky Irving,RB,13,2,6
2024-09-11,2024,madmax101010,1029198,Demarcus Robinson,WR,7,2,1
2024-09-11,2024,Chance145,1173487,Foster Moreau,TE,5,1,
2024-09-04,2024,Chance145,1173487,Dalvin Cook,RB,10,1,
2024-08-28,2024,SimonMiller,1029559,Jordan Mason,RB,39,2,5
2024-08-28,2024,SimonMiller,1029559,Ray Davis,RB,13,2,1
2024-08-28,2024,SimonMiller,1029559,Tank Bigsby,RB,9,1,
2024-08-28,2024,BurrowingMule,573215,Isaiah Likely,TE,5,1,
2024-08-28,2024,levp,1030247,Chig Okonkwo,TE,4,1,
2024-08-28,2024,Iyano1911,689370,Jamaal Williams,RB,1,1,
2023-12-27,2023,JGERK,573189,Baltimore Ravens,D/ST,34,1,
2023-12-27,2023,BurrowingMule,573215,Younghoe Koo,K,2,1,
2023-12-20,2023,Iyano1911,689370,Trey Sermon,RB,1,1,
2023-12-13,2023,Iyano1911,689370,Wan'Dale Robinson,WR,3,1,
