season,player,pos,projPoints
2024,Amon-Ra St. Brown,WR,284
2024,Justin Jefferson,WR,282.2
2024,Ja'Marr Chase,WR,289.4
2024,Bijan Robinson,RB,292.8
2024,Jahmyr Gibbs,RB,238.5
2024,Lamar Jackson,QB,303.8
2024,Derrick Henry,RB,225
2024,Jonathan Taylor,RB,256.8
2024,Josh Jacobs,RB,216.5
2024,De'Von Achane,RB,211.1
2024,Brock Bowers,TE,144
2024,George Kittle,TE,175.4
2024,Trey McBride,TE,182.3
2024,Malik Nabers,WR,222.6
2024,Jayden Daniels,QB,255.9
2024,Joe Burrow,QB,278.7
2024,Davante Adams,WR,234
2024,Breece Hall,RB,289.4
2024,Mike Evans,WR,235.4
2024,Tyreek Hill,WR,298.9
2024,Nico Collins,WR,229.7
2024,Josh Allen,QB,313.6
2024,Saquon Barkley,RB,252.4
2024,Garrett Wilson,WR,251.6
2024,Drake London,WR,225.6
2024,A.J. Brown,WR,259.8
2024,Tee Higgins,WR,202
2024,Aaron Jones,RB,189.9
2024,Joe Mixon,RB,218.6
2024,Sam LaPorta,TE,209.8
2024,Puka Nacua,WR,258
2024,Terry McLaurin,WR,193.5
2024,James Cook,RB,221.9
2024,DK Metcalf,WR,224.9
2024,Brian Thomas Jr.,WR,171.6
2024,Zay Flowers,WR,216.4
2024,Bucky Irving,RB,112.1
2024,Alvin Kamara,RB,231.1
2024,Kyren Williams,RB,232.9
2024,George Pickens,WR,209
2024,Chase Brown,RB,167
2024,DJ Moore,WR,223.6
2024,Travis Kelce,TE,209.1
2024,Marvin Harrison Jr.,WR,227.9
2024,Baker Mayfield,QB,245.4
2024,Jaxon Smith-Njigba,WR,191.4
2024,Cooper Kupp,WR,218
2024,D'Andre Swift,RB,180.7
2024,Jordan Addison,WR,188.6
2024,Patrick Mahomes,QB,307.7
2024,Jalen Hurts,QB,314.3
2024,Kyler Murray,QB,264.1
2024,Mark Andrews,TE,188.3
2024,Rachaad White,RB,225.3
2024,Najee Harris,RB,175
2024,Deebo Samuel Sr.,WR,221.2
2024,DeVonta Smith,WR,225.2
2024,Ladd McConkey,WR,178.4
2024,Sam Darnold,QB,192.5
2024,Courtland Sutton,WR,189.6
2024,Tony Pollard,RB,172.8
2024,CeeDee Lamb,WR,316.7
2024,Rhamondre Stevenson,RB,191.9
2024,Jayden Reed,WR,180.4
2024,Travis Etienne Jr.,RB,225.4
2024,Calvin Ridley,WR,219.4
2024,Jameson Williams,WR,161.8
2024,James Conner,RB,177.8
2024,J.K. Dobbins,RB,155.5
2024,Kenneth Walker III,RB,212.4
2024,Jared Goff,QB,234.9
2024,Keenan Allen,WR,202.2
2024,Jerry Jeudy,WR,176.7
2024,Isiah Pacheco,RB,232.5
2024,Rico Dowdle,RB,148.5
2024,Bo Nix,QB,192.8
2024,Brock Purdy,QB,259.3
2024,Jakobi Meyers,WR,175.2
2024,Jaylen Waddle,WR,219.2
2024,Justin Herbert,QB,252
2024,Darnell Mooney,WR,174
2024,Jordan Love,QB,206.7
2024,Xavier Worthy,WR,176.2
2024,David Njoku,TE,170.7
2024,Michael Pittman Jr.,WR,230.9
2024,DeAndre Hopkins,WR,177.9
2024,Khalil Shakir,WR,153.7
2024,Dalton Kincaid,TE,172.2
2024,Chuba Hubbard,RB,136.2
2024,C.J. Stroud,QB,276.6
2024,Kyle Pitts,TE,167.2
2024,Jaylen Warren,RB,177.6
2024,Javonte Williams,RB,185.2
2024,David Montgomery,RB,177.3
2024,Amari Cooper,WR,209.6
2024,Jake Ferguson,TE,165.7
2024,Adam Thielen,WR,171.4
2024,Tank Dell,WR,211.9
2024,Chris Olave,WR,245.8
2024,Josh Downs,WR,111.3
2024,Rome Odunze,WR,175.2
2024,Christian McCaffrey,RB,335.5
2024,Jerome Ford,RB,142.8
2024,Tyjae Spears,RB,175.4
2024,Quentin Johnston,WR,110.2
2024,Tua Tagovailoa,QB,240.5
2024,Evan Engram,TE,183.2
2024,Christian Watson,WR,188.6
2024,Nick Chubb,RB,134
2024,Anthony Richardson,QB,275.9
2024,Dallas Goedert,TE,152.1
2024,Aaron Rodgers,QB,265.2
2024,Tyler Lockett,WR,170.3
2024,Austin Ekeler,RB,173.5
2024,Keon Coleman,WR,170
2024,Devin Singletary,RB,168.3
2024,Gus Edwards,RB,143
2024,Geno Smith,QB,227
2024,Caleb Williams,QB,252.2
2024,Dalton Schultz,TE,133.1
2024,Kirk Cousins,QB,250.9
2024,Romeo Doubs,WR,135.2
2024,Diontae Johnson,WR,208.5
2024,Wan'Dale Robinson,WR,133.7
2024,Raheem Mostert,RB,170.7
2024,Chris Godwin,WR,214
2024,Matthew Stafford,QB,240.5
2024,Stefon Diggs,WR,226.8
2024,Tyler Allgeier,RB,141.2
2024,Chig Okonkwo,TE,118.4
2024,Brandon Aiyuk,WR,222.5
2024,Cole Kmet,TE,113.7
2024,Jonathon Brooks,RB,140
2024,Rashee Rice,WR,209.3
2024,Zack Moss,RB,155.3
2024,Hollywood Brown,WR,140.3
2024,Dak Prescott,QB,276.7
2024,Christian Kirk,WR,205.4
2024,Blake Corum,RB,117
2024,Xavier Legette,WR,131.9
2024,Isaiah Likely,TE,141.9
2024,Drake Maye,QB,205.2
2024,Zamir White,RB,182.5
2024,DeMario Douglas,WR,164.8
2024,Ezekiel Elliott,RB,160.4
2024,Jordan Mason,RB,82.6
2024,Mike Williams,WR,163.1
2024,Rashod Bateman,WR,113.3
2024,Justice Hill,RB,89.1
2024,Rashid Shaheed,WR,159
2024,Antonio Gibson,RB,141.8
2024,Taysom Hill,TE,125.8
2024,Jaleel McLaughlin,RB,137.8
2024,Trey Benson,RB,123.7
2024,Tyler Conklin,TE,128.5
2024,Brandin Cooks,WR,155.5
2024,Ricky Pearsall,WR,42.5
2024,Juwan Johnson,TE,119.9
2024,Ty Chandler,RB,137.1
2024,Bryce Young,QB,223.7
2024,Marvin Mims Jr.,WR,113.4
2024,Trevor Lawrence,QB,249.1
2024,Gabe Davis,WR,170.8
2024,Demarcus Robinson,WR,152.9
2024,Derek Carr,QB,218.7
2024,Alec Pierce,WR,51.6
2024,Allen Lazard,WR,51.2
2024,Joshua Palmer,WR,168.3
2024,Curtis Samuel,WR,166.6
2024,Dontayvion Wicks,WR,125.8
2024,Justin Fields,QB,89.7
2024,Michael Wilson,WR,142
2024,Jalen Tolbert,WR,120.9
2024,Tre Tucker,WR,126.2
2024,Khalil Herbert,RB,104.7
2024,Adonai Mitchell,WR,130.4
2024,MarShawn Lloyd,RB,75.4
2024,Darius Slayton,WR,118.1
2024,Ja'Lynn Polk,WR,142.7
2024,Daniel Jones,QB,225.4
2024,Deshaun Watson,QB,258.6
2025,Jahmyr Gibbs,RB,317.3
2025,Christian McCaffrey,RB,318.4
2025,Ja'Marr Chase,WR,340
2025,Puka Nacua,WR,298.6
2025,Bijan Robinson,RB,339.4
2025,Trey McBride,TE,259.2
2025,Amon-Ra St. Brown,WR,290.6
2025,CeeDee Lamb,WR,317.5
2025,Jaxon Smith-Njigba,WR,240.9
2025,Jonathan Taylor,RB,288.8
2025,James Cook III,RB,269.9
2025,Saquon Barkley,RB,326
2025,De'Von Achane,RB,307.5
2025,Josh Allen,QB,367.9
2025,Jalen Hurts,QB,365.5
2025,Derrick Henry,RB,281.7
2025,Ashton Jeanty,RB,302
2025,Justin Jefferson,WR,315.9
2025,George Pickens,WR,221.4
2025,Kyren Williams,RB,284
2025,Drake Maye,QB,285.3
2025,Nico Collins,WR,289.1
2025,Chase Brown,RB,281.2
2025,Drake London,WR,267.4
2025,A.J. Brown,WR,275.6
2025,Josh Jacobs,RB,282.9
2025,Bucky Irving,RB,283.5
2025,Tee Higgins,WR,265.4
2025,Tyler Warren,TE,166.1
2025,Jameson Williams,WR,218.6
2025,TreVeyon Henderson,RB,223.8
2025,Zay Flowers,WR,232.5
2025,Travis Etienne Jr.,RB,188.1
2025,Davante Adams,WR,257.1
2025,D'Andre Swift,RB,226.8
2025,Rico Dowdle,RB,84
2025,Ladd McConkey,WR,243.2
2025,Courtland Sutton,WR,227.6
2025,Javonte Williams,RB,217.2
2025,Matthew Stafford,QB,274.1
2025,Dak Prescott,QB,285.8
2025,Chris Olave,WR,209.8
2025,Breece Hall,RB,226
2025,Travis Kelce,TE,181.1
2025,Kyle Pitts Sr.,TE,143.1
2025,Jaylen Waddle,WR,226.5
2025,Jaylen Warren,RB,250.2
2025,Tetairoa McMillan,WR,235.3
2025,DeVonta Smith,WR,223
2025,Stefon Diggs,WR,160.8
2025,Kenneth Walker III,RB,238.8
2025,Joe Burrow,QB,330.5
2025,Lamar Jackson,QB,363.8
2025,RJ Harvey,RB,207.3
2025,George Kittle,TE,227.7
2025,Omarion Hampton,RB,259.4
2025,Michael Pittman Jr.,WR,201.1
2025,Emeka Egbuka,WR,176
2025,Deebo Samuel,WR,203.1
2025,Dallas Goedert,TE,156.9
2025,Bo Nix,QB,301.9
2025,Terry McLaurin,WR,247.7
2025,Mike Evans,WR,235.1
2025,David Montgomery,RB,213.4
2025,Brian Thomas Jr.,WR,270
2025,Justin Herbert,QB,284.5
2025,Marvin Harrison Jr.,WR,240
2025,Wan'Dale Robinson,WR,152.8
2025,Jauan Jennings,WR,192.7
2025,Jakobi Meyers,WR,219.6
2025,Hunter Henry,TE,148.1
2025,Baker Mayfield,QB,311
2025,Caleb Williams,QB,279.8
2025,Jared Goff,QB,260.5
2025,Rashee Rice,WR,163.1
2025,Tyrone Tracy Jr.,RB,206.9
2025,Brock Purdy,QB,306.2
2025,DJ Moore,WR,237.9
2025,Aaron Jones Sr.,RB,216.3
2025,Rome Odunze,WR,217.1
2025,Jaxson Dart,QB,132.2
2025,Tony Pollard,RB,222.1
2025,Mark Andrews,TE,173.4
2025,DK Metcalf,WR,240.5
2025,Rhamondre Stevenson,RB,173.1
2025,Keenan Allen,WR,212.6
2025,Brock Bowers,TE,262.2
2025,Alvin Kamara,RB,266.7
2025,Xavier Worthy,WR,166.8
2025,Khalil Shakir,WR,196.4
2025,Jordan Addison,WR,167.3
2025,Trevor Lawrence,QB,279.3
2025,Jordan Love,QB,264.6
2025,Chris Godwin Jr.,WR,187.6
2025,Garrett Wilson,WR,241.4
2025,Dalton Kincaid,TE,146.8
2025,Chuba Hubbard,RB,258.5
2025,Quentin Johnston,WR,163.9
2025,T.J. Hockenson,TE,184.5
2025,Patrick Mahomes,QB,324.9
2025,Sam LaPorta,TE,191.8
2025,Jerry Jeudy,WR,231.4
2025,Jayden Daniels,QB,371.6
2025,C.J. Stroud,QB,280.4
2025,Rashid Shaheed,WR,179.2
2025,Isiah Pacheco,RB,213.8
2025,Colston Loveland,TE,155.2
2025,Rachaad White,RB,128.1
2025,Jordan Mason,RB,133.6
2025,Ricky Pearsall,WR,198.4
2025,Jayden Reed,WR,177.8
2025,Sam Darnold,QB,241.7
2025,Jacory Croskey-Merritt,RB,163.8
2025,Cooper Kupp,WR,202.4
2025,Josh Downs,WR,179.1
2025,Darnell Mooney,WR,160.8
2025,David Njoku,TE,176.4
2025,Luther Burden III,WR,91.5
2025,Keon Coleman,WR,201
2025,Tre Tucker,WR,130.6
2025,Daniel Jones,QB,213
2025,Evan Engram,TE,168.7
2025,Nick Chubb,RB,119.7
2025,J.K. Dobbins,RB,171.4
2025,Zach Ertz,TE,141.8
2025,Trey Benson,RB,128.6
2025,Brenton Strange,TE,139.5
2025,Matthew Golden,WR,203.3
2025,Jayden Higgins,WR,161.5
2025,Tyjae Spears,RB,119.2
2025,Tyler Allgeier,RB,104.8
2025,Dylan Sampson,RB,199.2
2025,J.J. McCarthy,QB,282.6
