season,teamId,team,ownerId,owner,wins,losses,ties,winPct,regRank,poWins,poLosses,pf,pa,draftPos
2009,575068,tig 'ol bitties,367149,peter17,8,5,0,0.61538464,3,1,1,1201,1134,10
2009,576148,Maguires Maniacs,367661,MManiacs,6,7,0,0.46153846,7,,2,1219,1219,6
2009,535566,Victorious Secret,347489,Ryan505,6,7,0,0.46153846,8,1,1,1246,1280,5
2009,575350,I give up.,368817,Brotesk,4,9,0,0.30769232,10,,1,1057,1254,3
2009,575216,Knights of the Squirrel Kingdom,371740,King_Octavius,4,9,0,0.30769232,11,3,,1043,1286,2
2009,573328,the chupacabras,367628,madmax101010,2,11,0,0.15384616,12,,1,1085,1379,1
2009,573679,Montgomery Biscuits,367435,MAXj0L3S,11,2,0,0.84615386,2,1,1,1526,1175,11
2009,573189,GERK,366576,JGERK,10,3,0,0.7692308,1,3,,1471,1182,12
2009,573215,Burrowing Mule,367667,BurrowingMule,9,4,0,0.6923077,5,,1,1385,1205,8
2009,573196,Sweet Caroline,367633,peterlovespenis,7,6,0,0.53846157,4,1,2,1127,1163,9
2009,573321,Jerk City Thugz,367684,onionRANG,7,6,0,0.53846157,6,,1,1131,1166,7
2009,573289,...,366289,ajg21,4,9,0,0.30769232,9,2,1,1261,1309,4
2010,535566,I've fallen and I can't get up!,347489,Ryan505,10,3,0,0.7692308,3,1,1,1370,1093,10
2010,575068,Check dis tight end,367149,peter17,7,6,0,0.53846157,4,1,2,1213,1137,9
2010,689370,THE WINNERS,386304,Iyano1911,6,7,0,0.46153846,9,,1,1106,1103,4
2010,573189,GERK,366576,JGERK,4,9,0,0.30769232,10,,1,1053,1386,3
2010,575350,"Yeh we brothas, so what?",368817,Brotesk,4,9,0,0.30769232,11,2,1,930,1125,2
2010,689369,Sweet Caroline's Cooter,386750,Kelan,1,12,0,0.07692308,12,,1,730,1226,1
2010,573215,Burrowing Mule,367667,BurrowingMule,12,1,0,0.9230769,1,2,,1578,1123,12
2010,573289,The Soup Kitchen,366289,ajg21,9,4,0,0.6923077,2,2,1,1293,1148,11
2010,573196,Sweet Caroline,367633,peterlovespenis,7,6,0,0.53846157,5,,1,1209,1259,8
2010,573679,Montgomery Biscuits,367435,MAXj0L3S,6,7,0,0.46153846,6,1,1,1369,1279,7
2010,573321,Jerk City Thugz,367684,onionRANG,6,7,0,0.46153846,7,2,,1229,1258,6
2010,689373,My knife doesnt call 911,386852,FattaBra,6,7,0,0.46153846,8,1,2,1205,1148,5
2011,573189,GERK,366576,JGERK,10,3,0,0.7692308,4,,2,1415,1156,7
2011,689370,Team Rocket,386304,Iyano1911,9,4,0,0.6923077,3,2,1,1326,1272,8
2011,535566,Victorious Secret,347489,Ryan505,9,4,0,0.6923077,1,3,,1491,1299,10
2011,573321,Jerk City Thugz,367684,onionRANG,7,6,0,0.53846157,5,,1,1218,1337,6
2011,575068,Check dis tight end,475266,levp,4,9,0,0.30769232,8,2,,1076,1206,3
2011,573215,Burrowing Mule,367667,BurrowingMule,10,3,0,0.7692308,2,1,1,1296,1070,9
2011,769094,Oh snap is dat a HIPPO?!?!?!,386091,Chance145,5,8,0,0.3846154,6,,1,1133,1218,5
2011,769096,Grade-A Sh!t Heads,367628,madmax101010,5,8,0,0.3846154,7,1,1,1245,1252,4
2011,573679,Fantasy Football Team,367435,MAXj0L3S,3,10,0,0.23076923,9,1,1,1003,1216,2
2011,573289,The Soup Kitchen,366289,ajg21,3,10,0,0.23076923,10,,2,1141,1318,1
2012,573189,GERK,366576,JGERK,11,2,0,0.84615386,1,2,,1317,1107,8
2012,689370,It's too easy,386304,Iyano1911,8,5,0,0.61538464,5,,1,1324,1224,4
2012,535566,Nigga Hood Bride,347489,Ryan505,6,7,0,0.46153846,3,2,1,1314,1323,6
2012,575068,Cox N Dix,368817,Brotesk,4,9,0,0.30769232,8,,,1280,1394,1
2012,573679,Fantasy Football Team,367435,MAXj0L3S,6,7,0,0.46153846,2,1,1,1251,1357,7
2012,573215,Burrowing Mule,367667,BurrowingMule,6,7,0,0.46153846,6,,1,1353,1260,3
2012,769096,Team Braaten,549780,rickbraaten,6,7,0,0.46153846,4,1,2,1187,1168,5
2012,573289,The Soup Kitchen,366289,ajg21,5,8,0,0.3846154,7,,,1287,1480,2
2013,575068,Capital Punishment,368817,Brotesk,7,6,0,0.53846157,4,,2,1224,1226,7
2013,573189,GERK,366576,JGERK,6,7,0,0.46153846,1,3,,1361,1376,10
