tradeId,date,season,owner,received
10092209,2025-11-16,2025,ajg21,RJ Harvey (RB); Quentin Johnston (WR)
10092209,2025-11-16,2025,levp,Justin Jefferson (WR)
9950764,2025-10-03,2025,SimonMiller,Omarion Hampton (RB)
9950764,2025-10-03,2025,Iyano1911,Kenneth Walker (RB); Deebo Samuel (WR)
9945270,2025-10-03,2025,ajg21,Marvin Harrison (WR)
9945270,2025-10-03,2025,levp,RJ Harvey (RB)
9911560,2025-09-24,2025,BurrowingMule,Baker Mayfield (QB); Joe Mixon (RB); Brian Thomas (WR)
9911560,2025-09-24,2025,Joles,Zach Charbonnet (RB); A.J. Brown (WR)
9883810,2025-09-16,2025,JGERK,Josh Jacobs (RB); Emeka Egbuka (WR)
9883810,2025-09-16,2025,SimonMiller,Bijan Robinson (RB)
9840285,2025-08-29,2025,JGERK,Jerome Ford (RB)
9840285,2025-08-29,2025,Joles,Drake Maye (QB)
9814590,2025-08-20,2025,SimonMiller,David Montgomery (RB); Emeka Egbuka (WR)
9814590,2025-08-20,2025,Joles,Calvin Ridley (WR)
9507214,2024-11-18,2024,Ryan505,Amon-Ra St. Brown (WR); Jakobi Meyers (WR)
9507214,2024-11-18,2024,SimonMiller,Chase Brown (RB); Ladd McConkey (WR)
9497909,2024-11-14,2024,BurrowingMule,Breece Hall (RB)
9497909,2024-11-14,2024,Chance145,Isiah Pacheco (RB); T.J. Hockenson (TE)
9436032,2024-10-29,2024,levp,Sam LaPorta (TE)
9436032,2024-10-29,2024,Joles,Travis Etienne (RB)
9389633,2024-10-17,2024,madmax101010,Rico Dowdle (RB); Tee Higgins (WR)
9389633,2024-10-17,2024,Joles,Brian Thomas (WR)
9358817,2024-10-09,2024,Joles,Nico Collins (WR)
9358817,2024-10-09,2024,Chance145,Wan'Dale Robinson (WR); Jaylen Waddle (WR)
9358752,2024-10-09,2024,BurrowingMule,Tank Dell (WR)
9358752,2024-10-09,2024,Joles,Tucker Kraft (TE)
9331754,2024-10-03,2024,BurrowingMule,Travis Kelce (TE)
9331754,2024-10-03,2024,Brotesk,Chuba Hubbard (RB); Jonathon Brooks (RB)
9324569,2024-10-01,2024,Joles,Brandon Aiyuk (WR)
9324569,2024-10-01,2024,Chance145,Justin Fields (QB); Jordan Addison (WR)
9304104,2024-09-25,2024,SimonMiller,Jayden Daniels (QB)
9304104,2024-09-25,2024,Joles,Jordan Mason (RB)
9291542,2024-09-21,2024,zach_montoya,Zach Charbonnet (RB); Braelon Allen (RB)
9291542,2024-09-21,2024,SimonMiller,J.K. Dobbins (RB); Pittsburgh Steelers (D/ST)
9288628,2024-09-20,2024,Joles,Chris Olave (WR)
9288628,2024-09-20,2024,Iyano1911,Rhamondre Stevenson (RB)
9261114,2024-09-13,2024,zach_montoya,Zay Flowers (WR)
9261114,2024-09-13,2024,levp,Jerome Ford (RB)
9215571,2024-09-03,2024,JGERK,Trey Benson (RB); Xavier Worthy (WR)
9215571,2024-09-03,2024,BurrowingMule,David Montgomery (RB)
8833431,2023-11-18,2023,SimonMiller,Deebo Samuel (WR)
8833431,2023-11-18,2023,Chance145,Brian Robinson (RB); Michael Pittman (WR)
8830139,2023-11-17,2023,SimonMiller,De'Von Achane (RB); DeVonta Smith (WR)
8830139,2023-11-17,2023,Chance145,A.J. Brown (WR)
8749283,2023-10-30,2023,SimonMiller,Aaron Jones (RB)
8749283,2023-10-30,2023,Joles,Kyren Williams (RB)
8696486,2023-10-18,2023,SimonMiller,Brian Robinson (RB)
8696486,2023-10-18,2023,Chance145,De'Von Achane (RB)
8674360,2023-10-12,2023,BurrowingMule,Saquon Barkley (RB); Justice Hill (RB)
8674360,2023-10-12,2023,SimonMiller,Kyren Williams (RB); Rico Dowdle (RB); Michael Pittman (WR)
8671963,2023-10-12,2023,SimonMiller,De'Von Achane (RB)
8671963,2023-10-12,2023,Joles,Rhamondre Stevenson (RB)
8652682,2023-10-08,2023,levp,D'Andre Swift (RB); Christian Watson (WR)
8652682,2023-10-08,2023,Iyano1911,Trevor Lawrence (QB); Najee Harris (RB); Chris Olave (WR)
8651116,2023-10-08,2023,SimonMiller,Rhamondre Stevenson (RB); Amari Cooper (WR)
8651116,2023-10-08,2023,Joles,De'Von Achane (RB); Michael Thomas (WR)
8634849,2023-10-04,2023,Ryan505,Dallas Cowboys (D/ST)
8634849,2023-10-04,2023,SimonMiller,Joshua Palmer (WR)
8572359,2023-09-20,2023,BurrowingMule,Gabe Davis (WR)
8572359,2023-09-20,2023,levp,Cam Akers (RB); Joshua Kelley (RB)
8526941,2023-09-09,2023,madmax101010,Stefon Diggs (WR)
8526941,2023-09-09,2023,SimonMiller,A.J. Brown (WR)
8523256,2023-09-08,2023,ajg21,Kirk Cousins (QB); Samaje Perine (RB)
8523256,2023-09-08,2023,levp,Trevor Lawrence (QB)
8508325,2023-09-03,2023,madmax101010,Joe Mixon (RB); Kadarius Toney (WR)
8508325,2023-09-03,2023,SimonMiller,Zach Charbonnet (RB); DK Metcalf (WR)
8497194,2023-09-01,2023,BurrowingMule,Ja'Marr Chase (WR)
8497194,2023-09-01,2023,Brotesk,Alexander Mattison (RB); Dalvin Cook (RB); DeAndre Hopkins (WR)
8479049,2023-08-25,2023,madmax101010,A.J. Brown (WR); Greg Dulcich (TE)
8479049,2023-08-25,2023,levp,Miles Sanders (RB); Terry McLaurin (WR)
8474119,2023-08-23,2023,BurrowingMule,Jalen Hurts (QB)
8474119,2023-08-23,2023,SimonMiller,Lamar Jackson (QB); Michael Thomas (WR)
8459495,2023-08-18,2023,SimonMiller,Saquon Barkley (RB)
8459495,2023-08-18,2023,Joles,Travis Etienne (RB); Chris Godwin (WR)
8417336,2023-08-01,2023,SimonMiller,Stefon Diggs (WR); Chris Godwin (WR)
8417336,2023-08-01,2023,Chance145,Javonte Williams (RB); Deebo Samuel (WR); Mike Evans (WR); Dallas Goedert (TE)
8023145,2022-11-17,2022,SimonMiller,Diontae Johnson (WR)
8023145,2022-11-17,2022,Chance145,Ezekiel Elliott (RB)
8022715,2022-11-17,2022,Ryan505,Michael Gallup (WR)
8022715,2022-11-17,2022,BurrowingMule,Cooper Kupp (WR)
7996478,2022-11-13,2022,Chance145,Trevor Lawrence (QB)
7996478,2022-11-13,2022,Iyano1911,Daniel Jones (QB)
7943119,2022-11-02,2022,SimonMiller,AJ Dillon (RB); Damien Harris (RB)
7943119,2022-11-02,2022,Joles,Kyren Williams (RB); Khalil Herbert (RB)
7893007,2022-10-25,2022,SimonMiller,Rhamondre Stevenson (RB); Mike Evans (WR)
7893007,2022-10-25,2022,Joles,Derrick Henry (RB)
7870805,2022-10-21,2022,madmax101010,Breece Hall (RB); Najee Harris (RB); Nyheim Miller-Hines (RB); Michael Pittman (WR)
7870805,2022-10-21,2022,SimonMiller,Derrick Henry (RB); Khalil Herbert (RB); Ezekiel Elliott (RB); Rashod Bateman (WR)
7868737,2022-10-20,2022,Ryan505,Dameon Pierce (RB)
7868737,2022-10-20,2022,SimonMiller,Aaron Jones (RB)
7813099,2022-10-10,2022,BurrowingMule,Jalen Hurts (QB); Kenneth Walker (RB); DeVonta Smith (WR)
7813099,2022-10-10,2022,Joles,Josh Allen (QB); Tee Higgins (WR)
7783797,2022-10-04,2022,SimonMiller,Allen Robinson (WR)
7783797,2022-10-04,2022,Joles,Chase Edmonds (RB)
7780689,2022-10-04,2022,ajg21,Jeff Wilson (RB); T.J. Hockenson (TE)
7780689,2022-10-04,2022,SimonMiller,Najee Harris (RB)
7750864,2022-09-28,2022,SimonMiller,Kyle Pitts (TE)
7750864,2022-09-28,2022,Iyano1911,Clyde Edwards-Helaire (RB); Chris Olave (WR)
7716131,2022-09-21,2022,madmax101010,Rashod Bateman (WR); Gerald Everett (TE)
7716131,2022-09-21,2022,SimonMiller,Michael Pittman (WR)
7686280,2022-09-14,2022,SimonMiller,Jeff Wilson (RB); Rashod Bateman (WR)
7686280,2022-09-14,2022,Joles,Kenneth Walker (RB); Terry McLaurin (WR)
7653592,2022-09-02,2022,madmax101010,Ezekiel Elliott (RB); Cole Kmet (TE)
7653592,2022-09-02,2022,SimonMiller,Dameon Pierce (RB); Chris Olave (WR); T.J. Hockenson (TE)
7642759,2022-08-30,2022,SimonMiller,Kenneth Walker (RB); Chase Edmonds (RB)
7642759,2022-08-30,2022,Joles,AJ Dillon (RB)
7622005,2022-08-25,2022,SimonMiller,Breece Hall (RB); Clyde Edwards-Helaire (RB); Terry McLaurin (WR)
7622005,2022-08-25,2022,Chance145,D'Andre Swift (RB); Elijah Moore (WR)
7615975,2022-08-23,2022,Ryan505,Leonard Fournette (RB); R8
7615975,2022-08-23,2022,Brotesk,R5
7613624,2022-08-22,2022,SimonMiller,AJ Dillon (RB); R6
7613624,2022-08-22,2022,Joles,R5
7607101,2022-08-21,2022,BurrowingMule,R9
7607101,2022-08-21,2022,zach_montoya,Allen Lazard (WR)
7606394,2022-08-20,2022,levp,Amon-Ra St. Brown (WR); R9
7606394,2022-08-20,2022,Joles,R8
7134688,2021-11-20,2021,madmax101010,Travis Kelce (TE); R7
7134688,2021-11-20,2021,levp,Emmanuel Sanders (WR); R3
7122885,2021-11-22,2021,madmax101010,Antonio Gibson (RB); Jaylen Waddle (WR)
7122885,2021-11-22,2021,Joles,Travis Etienne (RB)
7115095,2021-11-16,2021,SimonMiller,Stefon Diggs (WR); R3
7115095,2021-11-16,2021,Joles,Tee Higgins (WR); R2
